codtipovia,codvia,codviacatastro,nomoficial,traducnooficial
C/,35070,1014,GUILLEM D'ANGLESOLA,GUILLEM DE ANGLESOLA
C/,35220,2515,GUITARRISTA T�RREGA,GUITARRISTA TARREGA
C/,35310,1021,FARINA,HARINA
C/,33690,977,GIBRALTAR,GIBRALTAR
C/,33720,978,GEGANT,GIGANTE
C/,33810,3241,GEPA,GEPA
PTGE,33870,984,GINER,GINER
C/,33930,986,GL�RIA,GLORIA
CV,34020,988,GODELLA,GODELLA
C/,34050,2616,GODELLETA,GODELLETA
PG,34140,2415,GOLES,GOLAS
C/,34230,992,GONZ�LEZ MART�,GONZALEZ MARTI
AV,33030,2267,GENERAL AVIL�S,GENERAL AVILES
C/,33060,2380,JER�NIMA GAL�S (IMPRESSORA),JER�NIMA GAL�S (IMPRESORA)
C/,33180,962,BAIX DE MASSARROJOS,BAIX DE MASSARROJOS
C/,33210,965,GENERAL LLORENS,GENERAL LLORENS
C/,33240,3267,F�LIX DEL R�O (ACTIVISTA VE�NAL),F�LIX DEL R�O (ACTIVISTA VECINAL)
C/,33450,973,GENERAL TOVAR,GENERAL TOVAR
PL,33510,3234,POBLE,POBLE
C/,32580,2585,AGR�,GARZA IMPERIAL
C/,32640,947,GARRIGUES,GARRIGUES
C/,32670,948,GARROFA,GARROFA
C/,32730,952,GASC� OLIAG,GASCO OLIAG
C/,32820,954,GASPAR TORRELLA,GASPAR TORRELLA
C/,32850,955,GAUD�NCIA TORRES,GAUDENCIA TORRES
AV,32880,2512,GAVINES,GAVIOTAS
ENTD,32940,956,GENERAL,GENERAL
C/,32970,957,GENERAL ALMIRANTE,GENERAL ALMIRANTE
C/,31680,922,FRAULES,FRESAS
CTRA,31740,925,FONT D'EN CORTS,FUENTE EN CORTS
C/,31770,924,FONT D'EN CARR�S,FUENTE ENCARROZ
C/,31860,927,FUENTERROBLES,FUENTERROBLES
PL,31890,929,FONT DE SANT AGUST�,FUENTE DE SAN AGUSTIN
PL,31980,2291,FURS,FUEROS
ENTD,32130,934,GABINO,GABINO
C/,32160,935,GABRIEL Y GAL�N,GABRIEL Y GALAN
C/,32370,940,GALLINES,GALLINAS
C/,31140,907,FRANCESC EIXIMENIS,FRANCISCO EXIMENIS
C/,31230,909,FRANCESC MART�NEZ,FRANCISCO MARTINEZ
C/,31320,911,FRANCISCO MORENO USEDO,FRANCISCO MORENO USEDO
C/,31440,915,SANT JACINT CASTANYEDA,SAN JACINTO CASTA�EDA
C/,31470,916,FRA JOAN MONTS�,FRAY JUAN MONZO
C/,31500,914,FRA J. RODR�GUEZ,FRAY J. RODRIGUEZ
C/,31650,920,FRA PERE VIVES,FRAY PEDRO VIVES
C/,30660,889,FONTANARS DELS ALFORINS,FONTANARES
C/,30720,894,FORATA,FORATA
C/,30750,896,FORTALENY,FORTALENY
C/,31080,905,FRANCESC CLIMENT,FRANCISCO CLIMENT
C/,31110,906,FRANCESC CUBELLS,FRANCISCO CUBELLS
GV,30000,873,FERRAN EL CAT�LIC,FERNANDO EL CATOLICO
C/,30060,874,FERRER I BIGN�,FERRER Y BIGNE
C/,30150,877,FIGUERETA,FIGUERETA
C/,30270,880,FINESTRAT,FINESTRAT
C/,30300,881,FINL�NDIA,FINLANDIA
C/,30450,885,FLORS,FLORES
C/,30540,888,FOLCH DE CARDONA,FOLCH DE CARDONA
C/,28770,837,ESPERAN�A,ESPERANZA
C/,28830,839,ESPER� DE CANTA-RANES,ESPOLON CANTARRANAS
C/,28890,2566,ESQUIF,ESQUIFE
C/,28950,843,ESTAMENYERIA VELLA,ESTAME�ERIA VIEJA
C/,29010,845,ESTEVE VICT�RIA,ESTEVE VICTORIA
C/,29130,2506,ESTRIBORD,ESTRIBOR
C/,29790,866,FELIPE SALVADOR,FELIPE SALVADOR
C/,29850,868,FELIP VIVES DE CANYAMARS,FELIPE VIVES DE CA�AMAS
C/,29910,870,FENOLLOSA,FENOLLOSA
C/,28020,820,ERNEST FERRER,ERNESTO FERRER
C/,28080,821,ERUDIT ORELLANA,ERUDITO ORELLANA
C/,28170,823,PERE COMPTE , MESTRE EN EL NOBLE ART PEDRA,PERE COMPTE , MESTRE EN EL NOBLE ART PEDRA
C/,28200,824,ESCOLANO,ESCOLANO
CRA,28290,825,ESCRIV�,ESCRIVA
CAMI,28320,826,ESCOLES DE MALILLA,ESCUELAS DE MALILLA
C/,28410,829,ESCULTOR AIXA,ESCULTOR AIXA
C/,28560,831,ESCULTOR PIQUER,ESCULTOR PIQUER
C/,28680,834,ESPAD�,ESPADAN
C/,27330,804,PLOM,EN PLOM
C/,27390,809,RODA,EN RODA
C/,27480,812,SENDRA,EN SENDRA
PL,27510,791,ENCARNACI�,ENCARNACION
C/,27750,807,ENRIC OLMOS,ENRIQUE OLMOS
C/,27780,813,ENTEN�A,ENTENZA
C/,27870,816,ERMITA,ERMITA
C/,27990,2502,ERNEST ANASTASIO,ERNESTO ANASTASIO
C/,26820,783,EMILI BAR�,EMILIO BARO
C/,26850,784,EMILI MAR�,EMILIO MARI
C/,26910,786,ENLLA�,EMPALME
C/,26940,787,EMPERADOR,EMPERADOR
C/,27000,789,BORR�S,EN BORRAS
C/,27090,793,GALL,EN GALL
C/,27180,798,GUILLEM FERRER,EN GUILLEN FERRER
C/,27240,800,EN LLOPIS,D 'EN LLOPIS
C/,27300,803,PINA,EN PINA
C/,26190,766,EDUARD BOSC�,EDUARDO BOSCA
PL,26280,2399,PERE MARIA ORTS I BOSCH (HISTORIADOR),PERE MARIA ORTS I BOSCH (HISTORIADOR)
C/,26310,769,EX�RCIT ESPANYOL,EJERCITO ESPA�OL
C/,26370,770,EL BATXILLER,BACHILLER
ENTD,26580,778,RULLO,RULLO
C/,26610,2424,SALZE,SAUCE
C/,26700,773,ELCANO,null
C/,26730,775,ELIES TORMO,ELIAS TORMO
PL,25620,2815,JOAN DE VILA-RASA,DON JUAN DE VILLARRASA
C/,25650,753,DON QUIJOTE DE LA MANCHA,DON QUIJOTE DE LA MANCHA
C/,25770,755,DOS D'ABRIL,DOS DE ABRIL
C/,25950,760,DUC DE GAETA,DUQUE DE GAETA
C/,26040,2265,JUST RAM�REZ (ARQUITECTE),JUST RAM�REZ (ARQUITECTO)
C/,26070,762,EDETA,EDETA
C/,24300,716,DOCTOR JOSEP JUAN D�MINE,DOCTOR J.J. DOMINE
PL,24330,717,DOCTOR LANDETE,DOCTOR LANDETE
C/,24390,2394,DOCTOR MACH�,DOCTOR MACHI
C/,24420,719,DOCTOR MANUEL CANDELA,DOCTOR MANUEL CANDELA
C/,24450,720,DOCTOR MARA��N,DOCTOR MARA�ON
C/,24570,723,DOCTOR MONSERRAT,DOCTOR MONSERRAT
C/,24720,726,DOCTOR PESET CERVERA,DOCTOR PESET CERVERA
C/,25560,750,JUAN DE DIOS MONTA��S,DON JUAN DE DIOS MONTA�ES
C/,23520,2462,PEDRAPIQUERS,null
C/,23610,2457,TRAGINERS,TRAGINERS
C/,23670,698,D�NIA,DENIA
C/,23850,704,DOCTOR ANDREU PIQUER,DOCTOR ANDRES PIQUER
C/,23940,706,DOCTOR BLAY,DOCTOR BLAY
C/,24030,708,DOCTOR CONSTANT� G�MEZ,DOCTOR CONSTANTINO GOMEZ
C/,24210,713,DOCTOR GIL I MORTE,DOCTOR GIL Y MORTE
C/,22350,674,MOSS�N PALANCA,CURA PALANCA
ENTD,22410,676,XALET,CHALET
C/,22530,680,XELLA,CHELLA
C/,22560,2334,XERA,CHERA
C/,22590,681,XEST,CHESTE
CV,22680,684,XIRIVELLA,CHIRIVELLA
C/,22890,689,DAMA D'ELX,DAMA DE ELCHE
C/,23010,692,DANSES,DANZAS
ENTD,23130,695,DAVIDS,DAVITS
C/,23230,2657,NINOT,NINOT
C/,21930,661,CUBA,CUBA
C/,22020,664,CONCA,CUENCA
C/,22050,2696,CONCA TRAMOYERES,CUENCA TRAMOYERES
C/,22140,667,COVES CAROLINES,CUEVAS CAROLINAS
C/,22260,671,MOSS�N BAU,CURA BAU
C/,21120,635,COSTA I BORR�S,COSTA Y BORRAS
PL,21300,641,CRESPINS,CRESPINS
CTRA,21330,642,CRESPO,CRESPO
CTRA,21360,643,CRESTA,CRESTA
C/,21420,645,CREVILLENT,CREVILLENTE
C/,21450,646,CRIS�STOM MART�NEZ,CRISOSTOMO MARTINEZ
C/,21690,653,CRONISTA TORRES,null
C/,21780,655,CREU,CRUZ
C/,21900,660,ESTACIONETA ,null
C/,20640,619,CONVENT DE SANT FRANCESC,CONVENTO DE SAN FRANCISCO
C/,20700,621,COOPERATIVA DE SANT FERRAN,COOPERATIVA DE SAN FERNANDO
C/,20730,622,COR DE JES�S,CORAZON DE JESUS
C/,20820,624,CORDELLATS,CORDELLATS
C/,20850,625,CORONA,CORONA
C/,21000,628,CORREDORS,CORREDORES
C/,19920,595,COMTE D'ALTEA,CONDE DE ALTEA
C/,20040,599,COMTE DE MELITO,CONDE DE MELITO
C/,20070,600,COMTE DE MONTORN�S,CONDE DE MONTORNES
PL,20190,604,COMTE DEL REAL,CONDE DEL REAL
C/,20280,607,COMTE DE TORREFIEL,CONDE DE TORREFIEL
C/,20520,615,CONVENT DELS CARMELITES,CONVENTO CARMELITAS
C/,20580,617,CONVENT DE JES�S,CONVENTO DE JESUS
C/,18870,564,CLERO,CLERO
C/,18960,566,COBERT�S,COBERTIZO
C/,19110,572,COFRENTS,COFRENTES
ENTD,19140,573,COIX CIURANA,COJO SIURANA
ENTD,19260,577,COLERO (POU APARICI 9),COLERO -EN CMNO POU APARISI 9-
C/,19350,579,COL�N,COLON
C/,19470,583,COLL DE RATES,COLL DE RATES
PL,19680,2814,COMUNI� DE SANT JOAN,COMUNION DE SAN JUAN
C/,19770,591,CONCHA ESPINA,CONCHA ESPINA
C/,17880,538,CEBRIAN MEZQUITA,CEBRIAN MEZQUITA
CAMI,17970,540,CEMENTIRI,CEMENTERIO
C/,18060,544,S�NIA,CENIA
PL,18090,545,PERE BORREGO I GALINDO (FALLER),PERE BORREGO I GALINDO (FALLER)
C/,18120,2312,CERAMISTA BAYARRI,CERAMISTA BAYARRI
PL,18150,2578,CERAMISTA GIMENO,CERAMISTA GIMENO
C/,18210,2448,CERAMISTA ROS,CERAMISTA ROS
C/,18720,3254,PROFESSOR DOCTOR SEVERO OCHOA,PROFESOR DOCTOR SEVERO OCHOA
C/,18810,563,CLARIANO,CLARIANO
C/,17190,519,CASTELL DE POP,CASTELL DE POP
C/,17250,518,CASTELL�,CASTELLON
C/,17310,521,CASTIELFABIB,CASTIELFABIB
C/,17550,528,CATALANS,CATALANES//CATALANS
C/,17640,531,CATARROJA,CATARROJA
C/,17700,533,CAUDETE,CAUDETE
C/,17850,2492,CAYUCO,CAYUCO
ENTD,16480,2971,CASA DEL VINYATER,CASA EL VI�ERO
ENTD,16530,493,CASA DE LA RASO,CASA LA RASO
ENTD,16620,2981,CASA DE SANTPAU,CASA SANTAPAU
ENTD,16680,498,CASA DE TOT�,CASA TOTA
C/,16710,500,CASAS ALTAS,null
C/,16740,501,CASES D'AM�LIA,CASAS AMALIA
C/,16800,504,CASAS BAJAS,null
CAMI,16830,505,CASES DE B�RCENA,CASAS DE BARCENA
C/,16860,506,CASES DE BARRINTO,CASAS BARRINGTO
C/,16890,507,CASES DE CARBONELL,CASAS CARBONELL
CAMI,16950,509,CASES DE GUERRA,CASAS DE GUERRA
ENTD,17010,2978,CASES DE MASENA,CASAS MASENA
C/,17160,2439,DEMOCR�CIA,DEMOCRACIA
SENDA,14430,431,CAPELLETA,CAPELLETA
CV,15280,3393,CARPESA A BORBOT�,CARPESA A BORBOTO
CAMI,15300,455,CARPESA A MONTCADA,CARPESA A MONCADA
C/,15330,456,FUSTERS,CARPINTEROS
C/,15390,461,CARTERS,CARTEROS
SENDA,15420,457,CARRASCA,CARRASCA
C/,15480,2810,CARRERES PUCHALT,CARRERES PUCHALT
ENTD,15690,467,CASA DEL CACHONDO,CASA CACHONDO
C/,20880,626,CORONACI�,CORONACION
ENTD,15990,477,CASA DE GORRITA,CASA GORRITA
ENTD,16270,3367,CASA DE MOLINA,CASA MOLINA
CTRA,16410,489,CASA �ORRO,null
ENTD,16440,490,CASA DE PERICO,CASA PERICO
C/,13620,408,CAMPAMENT,CAMPAMENTO
C/,13650,409,CAMPANA,CAMPANA
PL,13830,415,CAMPORROBLES,CAMPORROBLES
ENTD,14010,2969,CANALETA,CANELETA (1995)
C/,14220,2808,CANONGE T�RREGA,CANONIGO TARREGA
C/,14340,429,CA�ETE,CA�ETE
C/,12960,389,CADIS,CADIZ
C/,13050,392,CARABASSES,CALABAZAS
C/,13140,395,CALAMOCHA,CALAMOCHA
C/,13170,2577,CALA-XARXES,CALARREDES
CAMI,13350,401,CALVARI,CALVARIO
C/,13380,2272,CALVO ACACIO,CALVO ACACIO
C/,13470,403,CAMARENA,CAMARENA
C/,11130,336,BICORP,BICORP
C/,11220,339,BISBE,BISBE
C/,11280,2487,BIT�COLA,BITACORA
ENTD,11310,3382,BLANCO BALLESTER,BLANCO BALLESTER
C/,11400,343,BLANQUERIA,BLANQUERIAS
C/,11550,347,BOIX,BOIX
C/,11640,349,BOMBA,null
CAMI,12720,381,CABANYAL,CABA�AL
C/,12750,382,CABILLERS,CABILLERS
C/,10290,2377,BENIDOLEIG,BENIDOLEIG
CAMI,10350,311,BENIFARAIG A MONTCADA,BENIFARAIG A MONCADA
C/,10380,312,BENIFAI�,BENIFAYO
PL,10530,317,BENIMACLET,BENIMACLET
C/,10590,319,BENIMODO,BENIMODO
C/,10710,323,BENIPEIXCAR,BENIPEIXCAR
C/,10800,326,BERENGUER MALLOL,BERENGUER MALLOL
C/,10890,328,BERNAB� GARCIA,BERNABE GARCIA
C/,1650,48,ALC�SSER,ALCACER
C/,1950,2568,ALC�DIA DE CRESPINS,ALCUDIA DE CRESPINS
C/,9930,298,BENEFIC�NCIA,BENEFICENCIA
C/,9990,300,BENET BOSCH,BENET BOSCH
PL,10170,306,BENICALAP,BENICALAP
C/,10200,307,BENICARL�,BENICARLO
PL,81623,11174,CENTENAR DE LA PLOMA,CENTENAR DE LA PLOMA
C/,81625,11026,EL�AS BORR�S (POETA),ELIAS BORRAS (POETA)
C/,690,18,ADRE�ADORS,ADRESADORS
C/,810,20,AGUSTINA D'ARAG�,AGUSTINA DE ARAGON
C/,960,25,ALABAU I ARCE,ALABAU Y ARCE
C/,1200,33,ALBAL,ALBAL
C/,1290,36,ALBENTOSA,ALBENTOSA
C/,76860,2214,MARE DE D�U DE LES INJ�RIES,VIRGEN DE LAS INJURIAS
PL,76890,2215,MARE DE D�U DEL LEPANT,VIRGEN DE LEPANTO
C/,76950,2218,MARE DE D�U DE LA MISERIC�RDIA,VIRGEN DE LA MISERICORDIA
C/,81251,3163,EDUARD SOLER I P�REZ,EDUARDO SOLER Y PEREZ
C/,81257,3174,�NGEL VILLENA,ANGEL VILLENA
PL,81262,11126,PORTADORS DE LA VERGE,PORTADORS DE LA VERGE
C/,81267,3130,METGE RAM�N TARAZONA,MEDICO RAMON TARAZONA
C/,81273,3160,PUEBLA DE VALVERDE,PUEBLA DE VALVERDE
C/,81617,11129,FRANCISCO COMES MARTINEZ (DRAMATURG),null
C/,81618,11040,TRES D'ABRIL DE 1979,TRES DE ABRIL DE 1979
C/,39300,1125,JOAN AGUIL�,JUAN DE AGUILO
C/,39390,1128,JOAN BAPTISTA COMES,JUAN BAUTISTA COMES
C/,39450,1130,JOAN BAPTISTA LLOVERA,JUAN BAUTISTA LLOVERA
C/,39480,1131,JUAN BAUTISTA MARCO,JUAN BAUTISTA MARCO
PL,39570,1134,SEQUIOTA,SEQUIOTA
C/,39630,1136,JUAN CALATRAVA,JUAN CALATRAVA
C/,39660,1137,JUAN CASTELL�,JUAN CASTELLO
C/,39690,1138,JUAN DE CELAYA,JUAN DE CELAYA
C/,39780,1140,JUAN FABREGAT,JUAN FABREGAT
C/,38400,2452,JOAQUIM BENLLOCH,JOAQUIN BENLLOCH
C/,38430,1099,JOAQUIM COSTA,JOAQUIN COSTA
C/,76230,2194,VILAFERMOSA,VILLAHERMOSA
C/,76320,2197,VILAMARXANT,VILLAMARCHANTE
C/,76560,2204,VINALOP�,VINALOPO
C/,76620,2206,VINATEA,VINATEA
C/,37860,1083,JAUME L'OBRER,JAIME EL OBRERO
C/,37890,1084,JAUME ROIG,JAIME ROIG
C/,37980,1086,XALANS,JALANCE
C/,38040,1088,XARAFULL,JARAFUEL
C/,38130,3195,OLIVERETA,OLIVERETA
C/,38190,1092,JERONI DE MONTSORIU,JERONIMO DE MONSORIU
AV,38290,2661,JES�S MORANTE BORR�S,JESUS MORANTE BORRAS
C/,38340,1097,JIJONA,null
C/,25230,741,DOCTOR VILLENA,DOCTOR VILLENA
AV,25260,2335,DOCTOR WAKSMAN,DOCTOR WAKSMAN
C/,25350,744,DOLORES ALCAIDE,DOLORES ALCAIDE
C/,25380,2336,DOLORES MARQU�S,DOLORES MARQUES
C/,25440,2366,DOM�NEC G�MEZ,DOMINGO GOMEZ
C/,25470,746,ARMANDO PALACIO VALD�S,DON ARMANDO PALACIO VALDES
C/,37770,1080,JAIME BELTR�N,JAIME BELTRAN
C/,14610,435,CARAVACA,CARAVACA
C/,14670,437,PRES� DE SANT VICENT,CARCEL DE SAN VICENTE
AV,14730,439,CARDENAL BENLLOCH,CARDENAL BENLLOCH
C/,14850,443,CARITAT,CARIDAD
PL,14760,440,CARDENAL MONESCILLO,CARDENAL MONESCILLO
PTGE,24960,734,DOCTOR SERRA,DOCTOR SERRA
C/,25020,736,DOCTOR SORIANO BENLLOCH,DOCTOR SORIANO BENLLOCH
C/,25140,738,DOCTOR VICENTE PALLAR�S,DOCTOR VICENTE PALLARES
C/,12030,359,BORRULL,BORRULL
C/,12060,361,BOT�NIC,BOTANICO
C/,12210,365,BRET�N DE LOS HERREROS,BRETON DE LOS HERREROS
C/,12450,372,BUGARRA,BUGARRA
C/,12630,378,BUSOT,BUSOT
C/,14460,3266,DOCTOR RODR�GUEZ DE LA FUENTE,DOCTOR RODRIGUEZ DE LA FUENTE
C/,9420,281,BEAT JUAN GRANDE,BEATO JUAN GRANDE
C/,9480,283,BEATRIU TORTOSA,BEATRIZ TORTOSA
C/,9630,288,BETLEM,BELEN
C/,9690,290,BELLO,BELLO
C/,11670,350,BONAIRE,BONAIRE
ENTD,11790,354,BORBOT�,BORBOTO
CAMI,11880,357,BORBOT� A MASSARROJOS,BORBOTO A MASARROCHOS
C/,11910,358,BRODADORS,BORDADORES
C/,11970,2806,BORRASCA,BORRASCA
AV,8790,262,OEST,OESTE
PL,8820,2287,BAR� DE CORTES,BARON DE CORTES
C/,8910,265,BAR� DE PETR�S,BARON DE PETRES
C/,8940,266,BAR� DE SAN PETRILLO,BARON DE SAN PETRILLO
ENTD,9060,270,BARRAQUES DE CASTELL�,BARRAQUES DE CASTELLO
CAMI,9090,271,BARRAQUES DE LLUNA,BARRAQUES DE LLUNA
C/,9240,2559,BATEL,BATEL
C/,9300,277,BEATA,BEATA
C/,8190,2411,BALANDRA,BALANDRA
AV,8250,247,BALEARS,BALEARES
C/,8280,248,BALER,BALER
C/,8430,252,BALLESTERS,BALLESTEROS
C/,8670,260,BARCELLA,BARCHILLA
C/,8760,2935,BAR� DE BARXETA,BARON DE BARCHETA
C/,7560,228,AURORA,AURORA
C/,7620,231,AVE MARIA,AVE MARIA
C/,7660,2655,AIACOR,AYACOR
CAMI,7740,234,ASSAGADOR,AZAGADOR
C/,7770,235,ASSAGADOR D'ALBORAIA,AZAGADOR DE ALBORAYA
C/,7830,237,ASSAGADOR DE LES MONGES,AZAGADOR DE LAS MONJAS
CAMI,7860,238,ASSAGADOR DEL MORRO,AZAGADOR DEL MORRO
C/,7890,239,ASSAGADOR DE LA TORRE,AZAGADOR DE LA TORRE
C/,7920,240,AZC�RRAGA,AZCARRAGA
C/,6870,204,ARQUITECTE RODR�GUEZ,ARQUITECTO RODRIGUEZ
C/,6900,205,ARQUITECTE TOLS�,ARQUITECTO TOLSA
CTRA,6960,210,ART�S,ARTES
C/,6990,212,ARTS GR�FIQUES,ARTES GRAFICAS
C/,7140,215,ARQUEBISBE ALIAGA,ARZOBISPO ALIAGA
C/,7290,220,ARQUEBISBE OLAECHEA,ARZOBISPO OLAECHEA
PTDA,7350,208,DALT,ARRIBA
C/,7380,221,ASIL D'INFANTS,ASILO DE LA INFANCIA
C/,6480,196,AROLAS,AROLAS
C/,6510,197,ARQUITECTE ALFARO,ARQUITECTO ALFARO
C/,6570,2309,ARQUITECTE ARNAU,ARQUITECTO ARNAU
C/,6600,199,ARQUITECTE CARBONELL,ARQUITECTO CARBONELL
C/,6720,200,ARQUITECTE JUAN P�REZ,ARQUITECTO JUAN PEREZ
C/,6750,201,ARQUITECTE LUCINI,ARQUITECTO LUCINI
C/,6840,2286,ARQUITECTE RIBES,ARQUITECTO RIBES
C/,6000,179,ANTONI SU�REZ,ANTONIO SUAREZ
C/,6030,2400,APARICIO ALBI�ANA,APARICIO ALBI�ANA
C/,6060,180,APARISI I GUIJARRO,APARISI Y GUIJARRO
PL,6180,185,ARAS DE LOS OLMOS,ARAS DE LOS OLMOS
C/,6270,187,ARBOREDA,ARBOLEDA
C/,6330,189,ARCHENA,ARCHENA
C/,6430,194,ARNAU DE VILANOVA,ARNALDO DE VILANOVA
C/,5250,160,EMPAR BALLESTER,AMPARO BALLESTER
C/,5280,161,EMPAR GUILLEM,AMPARO GUILLEM
C/,5370,162,ANDILLA,ANDILLA
C/,5430,164,ANDR�S MANCEBO,ANDRES MANCEBO
C/,5640,168,ANGELICOT,ANGELICOT
C/,5700,171,ESTRET DE LA COMPANYIA,ANGOSTA DE LA COMPA�IA
C/,5760,173,ANGUILERA,ANGUILERA
CAMI,5820,175,ANOUERS,ANOUERS
C/,5940,2803,ANTONI L�ZARO,ANTONIO LAZARO
C/,4620,139,ALQUERIES DE BELLVER,ALQUERIAS DE BELLVER
C/,4770,145,DALT,ALTA
C/,4800,146,DALT DE LA MAR,ALTA DEL MAR
C/,4860,148,ALTAR DE SANT VICENT,ALTAR DE SAN VICENTE
C/,4980,152,�LVAREZ,ALVAREZ
C/,5010,153,�LVAREZ DE SOTOMAYOR,ALVAREZ DE SOTOMAYOR
PL,5160,157,AM�RICA,AMERICA
CAMI,3240,92,ALQUERIA D'ALBORS,ALQUERIA DE ALBORS
ENTD,3330,95,ALQUERIA D'ANTEQUERA,ALQUERIA ANTEQUERA
C/,3360,96,ALQUERIA D'ASNAR,ALQUERIA DE AZNAR
C/,3420,97,ALQUERIA DE BENLLOCH,ALQUERIA DE BENLLOCH
ENTD,3450,3434,ALQUERIA DE BURGOS,ALQUERIA DE BURGOS ENTRADA DE L'
CH,3540,103,ALQUERIA DE CANO,null
CAMI,3600,106,ALQUERIA DE CASSANY,ALQUERIA CASANI
CAMI,3660,108,ALQUERIA DE GILET,ALQUERIA DE CHILET
CAMI,3690,109,ALQUERIA DE GINER,ALQUERIA DE CHINER
ENTD,3810,112,ALQUERIA DELS FRARES,ALQUERIA DE LOS FRAILES
C/,3870,2408,ALQUERIA DE GINER,ALQUERIA DE GINER
CAMI,3930,115,ALQUERIA D'ISIDORO,ALQUERIA ISIDORO
CAMI,3960,116,ALQUERIA DE MARQUET,ALQUERIA DE MARQUET
CAMI,4020,3357,ALQUERIA DE LA MORERA,ALQUERIA DE LA MORERA
ENTD,4230,122,ALQUERIA DE PIXA-RODA,ALQUERIA PIXARRODA
CAMI,4380,129,ALQUERIA DEL ROCAT�,ALQUERIA ROCATI
ENTD,4590,138,ALQUERIA DEL VOLANT,ALQUERIA DEL VOLANTE
ENTD,2520,69,ALGAR�N,ALGARIN
C/,2550,70,ALGEMES�,ALGEMESI
CAMI,2640,71,ALGIR�S,ALGIROS
C/,2700,74,ALM�SSERA,ALMACERA
C/,2760,76,�NIMES,ALMAS
CAMI,2800,2795,ALMENAR,ALMENAR
C/,2850,79,ALMIRALL CADARSO,ALMIRANTE CADARSO
C/,3030,85,ALMUDAINA,ALMUDAINA
ENTD,3210,91,ALQUERIA D'ALBA,ALQUERIA DE ALBA
C/,1800,51,ALZIRA,ALCIRA
C/,1860,53,ALCOI,ALCOY
C/,2010,57,ALEGRET,ALEGRET
C/,2100,2575,ALESSANDRO VOLTA,ALEJANDRO VOLTA
C/,2220,61,ALFAFAR,ALFAFAR
PL,2460,68,ALFONS EL MAGN�NIM,ALFONSO EL MAGNANIMO
C/,1320,37,ALBERIC,ALBERIQUE
C/,1350,38,ALBEROLA,ALBEROLA
C/,1440,41,ALBORAIA,ALBORAYA
CV,1470,42,ALBORAIA,ALBORAYA C.V.
CTRA,1620,3024,ALBUIXEC A MAUELLA,ALBUIXECH A MAHUELLA
C/,1710,49,ALCALDE REIG,ALCALDE REIG
C/,1260,35,ALBENIZ,ALB�NIZ
C/,600,15,ACTOR MORA,ACTOR MORA
C/,660,17,ADOR,ADOR
C/,780,21,AGUST� SALES,AGUSTIN SALES
SENDA,840,22,AIRE,AIRE
CAMI,930,24,ALABAU,ALABAU
C/,1020,27,ALADRERS,ALADRERS
